lat,lng,conn
51.594708,-0.176483,83
51.589725,-0.170665,86
51.590770,-0.163722,88
51.588090,-0.161997,88
51.589519,-0.176466,83
51.601517,-0.166084,76
51.596144,-0.172014,84
51.622302,-0.273654,78
51.626160,-0.272472,74
51.630786,-0.285171,73
51.620811,-0.288357,79
51.618845,-0.284654,79
51.620380,-0.278735,79
51.616516,-0.272634,84
51.615114,-0.279672,85
51.610861,-0.274230,84
51.630742,-0.267206,65
51.597890,-0.196379,88
51.597283,-0.188437,85
51.595697,-0.214193,78
51.599659,-0.206276,75
51.595959,-0.204502,84
51.591785,-0.204622,82
51.594419,-0.196248,84
51.592306,-0.193434,82
51.602336,-0.201193,85
51.587198,-0.189444,80
51.575461,-0.177240,69
51.581667,-0.185317,79
51.585377,-0.169200,81
51.583778,-0.193885,83
51.589284,-0.182778,82
51.586306,-0.197443,85
51.578323,-0.193153,83
51.580745,-0.178802,73
51.573581,-0.190844,81
51.580496,-0.209086,87
51.579206,-0.200523,84
51.582973,-0.202872,84
51.577326,-0.205720,87
51.576201,-0.212520,86
51.574624,-0.208162,86
51.573183,-0.219126,82
51.568926,-0.213353,80
51.567525,-0.223269,82
51.565374,-0.213627,81
51.586129,-0.205195,81
51.610410,-0.266147,81
51.614493,-0.267011,79
51.633051,-0.253020,71
51.624248,-0.265795,72
51.622259,-0.268804,75
51.624438,-0.259001,75
51.619470,-0.260622,78
51.614391,-0.261150,79
51.615537,-0.254626,80
51.610673,-0.252258,82
51.584702,-0.213412,84
51.585542,-0.224839,87
51.588663,-0.211734,84
51.590782,-0.234078,80
51.597686,-0.230656,76
51.594464,-0.224067,79
51.592729,-0.216720,80
51.590706,-0.220208,87
51.591230,-0.228358,87
51.587335,-0.221440,87
51.657199,-0.185235,77
51.654440,-0.179961,78
51.654235,-0.208191,84
51.657426,-0.214473,76
51.654661,-0.197306,84
51.650303,-0.179152,83
51.649967,-0.185933,81
51.650923,-0.237028,63
51.663163,-0.199282,76
51.615806,-0.224787,72
51.609861,-0.235900,76
51.608616,-0.207140,80
51.614691,-0.239634,81
51.603631,-0.218206,76
51.604298,-0.233684,76
51.622965,-0.235085,73
51.620984,-0.246787,76
51.617743,-0.249858,81
51.624115,-0.157275,78
51.623567,-0.166796,77
51.641162,-0.172492,75
51.647127,-0.180909,84
51.643331,-0.183072,78
51.645075,-0.175468,80
51.638591,-0.177533,78
51.633939,-0.167006,77
51.631916,-0.171385,82
